,,,,,,,,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES ("
1063,3,6,22,23,24,38,30,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1063,3,6,22,23,24,38,38, current_timestamp);"
1062,20,31,32,40,41,45,12,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1062,20,31,32,40,41,45,45, current_timestamp);"
1061,4,24,27,35,37,45,15,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1061,4,24,27,35,37,45,45, current_timestamp);"
1060,3,10,24,33,38,45,36,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1060,3,10,24,33,38,45,45, current_timestamp);"
1059,7,10,22,25,34,40,27,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1059,7,10,22,25,34,40,40, current_timestamp);"
1058,11,23,25,30,32,40,42,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1058,11,23,25,30,32,40,40, current_timestamp);"
1057,8,13,19,27,40,45,12,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1057,8,13,19,27,40,45,45, current_timestamp);"
1056,13,20,24,32,36,45,29,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1056,13,20,24,32,36,45,45, current_timestamp);"
1055,4,7,12,14,22,33,31,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1055,4,7,12,14,22,33,33, current_timestamp);"
1054,14,19,27,28,30,45,33,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1054,14,19,27,28,30,45,45, current_timestamp);"
1053,22,26,29,30,34,45,15,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1053,22,26,29,30,34,45,45, current_timestamp);"
1052,5,17,26,27,35,38,1,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1052,5,17,26,27,35,38,38, current_timestamp);"
1051,21,26,30,32,33,35,44,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1051,21,26,30,32,33,35,35, current_timestamp);"
1050,6,12,31,35,38,43,17,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1050,6,12,31,35,38,43,43, current_timestamp);"
1049,3,5,13,20,21,37,17,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1049,3,5,13,20,21,37,37, current_timestamp);"
1048,6,12,17,21,32,39,30,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1048,6,12,17,21,32,39,39, current_timestamp);"
1047,2,20,33,40,42,44,32,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1047,2,20,33,40,42,44,44, current_timestamp);"
1046,7,16,25,29,35,36,28,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1046,7,16,25,29,35,36,36, current_timestamp);"
1045,6,14,15,19,21,41,37,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1045,6,14,15,19,21,41,41, current_timestamp);"
1044,12,17,20,26,28,36,4,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1044,12,17,20,26,28,36,36, current_timestamp);"
1043,3,5,12,22,26,31,19,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1043,3,5,12,22,26,31,31, current_timestamp);"
1042,5,14,15,23,34,43,4,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1042,5,14,15,23,34,43,43, current_timestamp);"
1041,6,7,9,11,17,18,45,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1041,6,7,9,11,17,18,18, current_timestamp);"
1040,8,16,26,29,31,36,11,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1040,8,16,26,29,31,36,36, current_timestamp);"
1039,2,3,6,19,36,39,26,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1039,2,3,6,19,36,39,39, current_timestamp);"
1038,7,16,24,27,37,44,2,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1038,7,16,24,27,37,44,44, current_timestamp);"
1037,2,14,15,22,27,33,31,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1037,2,14,15,22,27,33,33, current_timestamp);"
1036,2,5,22,32,34,45,39,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1036,2,5,22,32,34,45,45, current_timestamp);"
1035,9,14,34,35,41,42,2,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1035,9,14,34,35,41,42,42, current_timestamp);"
1034,26,31,32,33,38,40,11,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1034,26,31,32,33,38,40,40, current_timestamp);"
1033,3,11,15,20,35,44,10,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1033,3,11,15,20,35,44,44, current_timestamp);"
1032,1,6,12,19,36,42,28,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1032,1,6,12,19,36,42,42, current_timestamp);"
1031,6,7,22,32,35,36,19,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1031,6,7,22,32,35,36,36, current_timestamp);"
1030,2,5,11,17,24,29,9,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1030,2,5,11,17,24,29,29, current_timestamp);"
1029,12,30,32,37,39,41,24,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1029,12,30,32,37,39,41,41, current_timestamp);"
1028,5,7,12,13,18,35,23,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1028,5,7,12,13,18,35,35, current_timestamp);"
1027,14,16,27,35,39,45,5,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1027,14,16,27,35,39,45,45, current_timestamp);"
1026,5,12,13,31,32,41,34,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1026,5,12,13,31,32,41,41, current_timestamp);"
1025,8,9,20,25,29,33,7,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1025,8,9,20,25,29,33,33, current_timestamp);"
1024,9,18,20,22,38,44,10,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1024,9,18,20,22,38,44,44, current_timestamp);"
1023,10,14,16,18,29,35,25,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1023,10,14,16,18,29,35,35, current_timestamp);"
1022,5,6,11,29,42,45,28,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1022,5,6,11,29,42,45,45, current_timestamp);"
1021,12,15,17,24,29,45,16,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1021,12,15,17,24,29,45,45, current_timestamp);"
1020,12,27,29,38,41,45,6,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1020,12,27,29,38,41,45,45, current_timestamp);"
1019,1,4,13,17,34,39,6,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1019,1,4,13,17,34,39,39, current_timestamp);"
1018,3,19,21,25,37,45,35,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1018,3,19,21,25,37,45,45, current_timestamp);"
1017,12,18,22,23,30,34,32,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1017,12,18,22,23,30,34,34, current_timestamp);"
1016,15,26,28,34,41,42,44,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1016,15,26,28,34,41,42,42, current_timestamp);"
1015,14,23,31,33,37,40,44,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1015,14,23,31,33,37,40,40, current_timestamp);"
1014,3,11,14,18,26,27,21,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1014,3,11,14,18,26,27,27, current_timestamp);"
1013,21,22,26,34,36,41,32,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1013,21,22,26,34,36,41,41, current_timestamp);"
1012,5,11,18,20,35,45,3,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1012,5,11,18,20,35,45,45, current_timestamp);"
1011,1,9,12,26,35,38,42,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1011,1,9,12,26,35,38,38, current_timestamp);"
1010,9,12,15,25,34,36,3,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1010,9,12,15,25,34,36,36, current_timestamp);"
1009,15,23,29,34,40,44,20,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1009,15,23,29,34,40,44,44, current_timestamp);"
1008,9,11,30,31,41,44,33,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1008,9,11,30,31,41,44,44, current_timestamp);"
1007,8,11,16,19,21,25,40,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1007,8,11,16,19,21,25,25, current_timestamp);"
1006,8,11,15,16,17,37,36,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1006,8,11,15,16,17,37,37, current_timestamp);"
1005,8,13,18,24,27,29,17,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1005,8,13,18,24,27,29,29, current_timestamp);"
1004,7,15,30,37,39,44,18,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1004,7,15,30,37,39,44,44, current_timestamp);"
1003,1,4,29,39,43,45,31,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1003,1,4,29,39,43,45,45, current_timestamp);"
1002,17,25,33,35,38,45,15,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1002,17,25,33,35,38,45,45, current_timestamp);"
1001,6,10,12,14,20,42,15,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1001,6,10,12,14,20,42,42, current_timestamp);"
1000,2,8,19,22,32,42,39,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (1000,2,8,19,22,32,42,42, current_timestamp);"
999,1,3,9,14,18,28,34,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (999,1,3,9,14,18,28,28, current_timestamp);"
998,13,17,18,20,42,45,41,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (998,13,17,18,20,42,45,45, current_timestamp);"
997,4,7,14,16,24,44,20,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (997,4,7,14,16,24,44,44, current_timestamp);"
996,6,11,15,24,32,39,28,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (996,6,11,15,24,32,39,39, current_timestamp);"
995,1,4,13,29,38,39,7,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (995,1,4,13,29,38,39,39, current_timestamp);"
994,1,3,8,24,27,35,28,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (994,1,3,8,24,27,35,35, current_timestamp);"
993,6,14,16,18,24,42,44,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (993,6,14,16,18,24,42,42, current_timestamp);"
992,12,20,26,33,44,45,24,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (992,12,20,26,33,44,45,45, current_timestamp);"
991,13,18,25,31,33,44,38,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (991,13,18,25,31,33,44,44, current_timestamp);"
990,2,4,25,26,36,37,28,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (990,2,4,25,26,36,37,37, current_timestamp);"
989,17,18,21,27,29,33,26,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (989,17,18,21,27,29,33,33, current_timestamp);"
988,2,13,20,30,31,41,27,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (988,2,13,20,30,31,41,41, current_timestamp);"
987,2,4,15,23,29,38,7,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (987,2,4,15,23,29,38,38, current_timestamp);"
986,7,10,16,28,41,42,40,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (986,7,10,16,28,41,42,42, current_timestamp);"
985,17,21,23,30,34,44,19,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (985,17,21,23,30,34,44,44, current_timestamp);"
984,3,10,23,35,36,37,18,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (984,3,10,23,35,36,37,37, current_timestamp);"
983,13,23,26,31,35,43,15,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (983,13,23,26,31,35,43,43, current_timestamp);"
982,5,7,13,20,21,44,33,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (982,5,7,13,20,21,44,44, current_timestamp);"
981,27,36,37,41,43,45,32,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (981,27,36,37,41,43,45,45, current_timestamp);"
980,3,13,16,23,24,35,14,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (980,3,13,16,23,24,35,35, current_timestamp);"
979,7,11,16,21,27,33,24,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (979,7,11,16,21,27,33,33, current_timestamp);"
978,1,7,15,32,34,42,8,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (978,1,7,15,32,34,42,42, current_timestamp);"
977,2,9,10,14,22,44,16,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (977,2,9,10,14,22,44,44, current_timestamp);"
976,4,12,14,25,35,37,2,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (976,4,12,14,25,35,37,37, current_timestamp);"
975,7,8,9,17,22,24,5,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (975,7,8,9,17,22,24,24, current_timestamp);"
974,1,2,11,16,39,44,32,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (974,1,2,11,16,39,44,44, current_timestamp);"
973,22,26,31,37,41,42,24,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (973,22,26,31,37,41,42,42, current_timestamp);"
972,3,6,17,23,37,39,26,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (972,3,6,17,23,37,39,39, current_timestamp);"
971,2,6,17,18,21,26,7,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (971,2,6,17,18,21,26,26, current_timestamp);"
970,9,11,16,21,28,36,5,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (970,9,11,16,21,28,36,36, current_timestamp);"
969,3,9,10,29,40,45,7,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (969,3,9,10,29,40,45,45, current_timestamp);"
968,2,5,12,14,24,39,33,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (968,2,5,12,14,24,39,39, current_timestamp);"
967,1,6,13,37,38,40,9,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (967,1,6,13,37,38,40,40, current_timestamp);"
966,1,21,25,29,34,37,36,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (966,1,21,25,29,34,37,37, current_timestamp);"
965,2,13,25,28,29,36,34,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (965,2,13,25,28,29,36,36, current_timestamp);"
964,6,21,36,38,39,43,30,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (964,6,21,36,38,39,43,43, current_timestamp);"
963,6,12,19,23,34,42,35,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (963,6,12,19,23,34,42,42, current_timestamp);"
962,1,18,28,31,34,43,40,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (962,1,18,28,31,34,43,43, current_timestamp);"
961,11,20,29,31,33,42,43,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (961,11,20,29,31,33,42,42, current_timestamp);"
960,2,18,24,30,32,45,14,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (960,2,18,24,30,32,45,45, current_timestamp);"
959,1,14,15,24,40,41,35,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (959,1,14,15,24,40,41,41, current_timestamp);"
958,2,9,10,16,35,37,1,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (958,2,9,10,16,35,37,37, current_timestamp);"
957,4,15,24,35,36,40,1,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (957,4,15,24,35,36,40,40, current_timestamp);"
956,10,11,20,21,25,41,40,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (956,10,11,20,21,25,41,41, current_timestamp);"
955,4,9,23,26,29,33,8,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (955,4,9,23,26,29,33,33, current_timestamp);"
954,1,9,26,28,30,41,32,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (954,1,9,26,28,30,41,41, current_timestamp);"
953,7,9,22,27,37,42,34,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (953,7,9,22,27,37,42,42, current_timestamp);"
952,4,12,22,24,33,41,38,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (952,4,12,22,24,33,41,41, current_timestamp);"
951,2,12,30,31,39,43,38,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (951,2,12,30,31,39,43,43, current_timestamp);"
950,3,4,15,22,28,40,10,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (950,3,4,15,22,28,40,40, current_timestamp);"
949,14,21,35,36,40,44,30,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (949,14,21,35,36,40,44,44, current_timestamp);"
948,13,18,30,31,38,41,5,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (948,13,18,30,31,38,41,41, current_timestamp);"
947,3,8,17,20,27,35,26,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (947,3,8,17,20,27,35,35, current_timestamp);"
946,9,18,19,30,34,40,20,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (946,9,18,19,30,34,40,40, current_timestamp);"
945,9,10,15,30,33,37,26,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (945,9,10,15,30,33,37,37, current_timestamp);"
944,2,13,16,19,32,33,42,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (944,2,13,16,19,32,33,33, current_timestamp);"
943,1,8,13,36,44,45,39,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (943,1,8,13,36,44,45,45, current_timestamp);"
942,10,12,18,35,42,43,39,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (942,10,12,18,35,42,43,43, current_timestamp);"
941,12,14,25,27,39,40,35,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (941,12,14,25,27,39,40,40, current_timestamp);"
940,3,15,20,22,24,41,11,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (940,3,15,20,22,24,41,41, current_timestamp);"
939,4,11,28,39,42,45,6,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (939,4,11,28,39,42,45,45, current_timestamp);"
938,4,8,10,16,31,36,9,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (938,4,8,10,16,31,36,36, current_timestamp);"
937,2,10,13,22,29,40,26,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (937,2,10,13,22,29,40,40, current_timestamp);"
936,7,11,13,17,18,29,43,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (936,7,11,13,17,18,29,29, current_timestamp);"
935,4,10,20,32,38,44,18,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (935,4,10,20,32,38,44,44, current_timestamp);"
934,1,3,30,33,36,39,12,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (934,1,3,30,33,36,39,39, current_timestamp);"
933,23,27,29,31,36,45,37,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (933,23,27,29,31,36,45,45, current_timestamp);"
932,1,6,15,36,37,38,5,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (932,1,6,15,36,37,38,38, current_timestamp);"
931,14,15,23,25,35,43,32,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (931,14,15,23,25,35,43,43, current_timestamp);"
930,8,21,25,38,39,44,28,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (930,8,21,25,38,39,44,44, current_timestamp);"
929,7,9,12,15,19,23,4,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (929,7,9,12,15,19,23,23, current_timestamp);"
928,3,4,10,20,28,44,30,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (928,3,4,10,20,28,44,44, current_timestamp);"
927,4,15,22,38,41,43,26,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (927,4,15,22,38,41,43,43, current_timestamp);"
926,10,16,18,20,25,31,6,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (926,10,16,18,20,25,31,31, current_timestamp);"
925,13,24,32,34,39,42,4,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (925,13,24,32,34,39,42,42, current_timestamp);"
924,3,11,34,42,43,44,13,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (924,3,11,34,42,43,44,44, current_timestamp);"
923,3,17,18,23,36,41,26,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (923,3,17,18,23,36,41,41, current_timestamp);"
922,2,6,13,17,27,43,36,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (922,2,6,13,17,27,43,43, current_timestamp);"
921,5,7,12,22,28,41,1,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (921,5,7,12,22,28,41,41, current_timestamp);"
920,2,3,26,33,34,43,29,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (920,2,3,26,33,34,43,43, current_timestamp);"
919,9,14,17,18,42,44,35,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (919,9,14,17,18,42,44,44, current_timestamp);"
918,7,11,12,31,33,38,5,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (918,7,11,12,31,33,38,38, current_timestamp);"
917,1,3,23,24,27,43,34,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (917,1,3,23,24,27,43,43, current_timestamp);"
916,6,21,22,32,35,36,17,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (916,6,21,22,32,35,36,36, current_timestamp);"
915,2,6,11,13,22,37,14,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (915,2,6,11,13,22,37,37, current_timestamp);"
914,16,19,24,33,42,44,27,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (914,16,19,24,33,42,44,44, current_timestamp);"
913,6,14,16,21,27,37,40,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (913,6,14,16,21,27,37,37, current_timestamp);"
912,5,8,18,21,22,38,10,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (912,5,8,18,21,22,38,38, current_timestamp);"
911,4,5,12,14,32,42,35,"INSERT INTO tb_bingo(seq,no1,no2,no3,no4,no5,no6,no7,created_at)  VALUES (911,4,5,12,14,32,42,42, current_timestamp);"
